trial_name,nct,car_t_product,primary_citation,followup_citation,data_cutoff_date,median_followup_months,randomization_ratio,bridging_chemo_allowed,bridging_details,crossover_allowed,response_assessor,efs_definition_verbatim,crr_definition_verbatim,crs_grading,icans_grading,arm,treatment,n_randomized,n_safety,n_infused,median_age,pct_primary_refractory,pct_relapse_lt12mo,pct_ipi_distribution,pct_stage_iii_iv,region_note,median_days_dx_to_infusion,salvage_regimens,pct_reached_asct,pct_soc_subsequent_cart,source,notes
ZUMA-7,NCT03391466,Axicabtagene ciloleucel,"Locke FL, et al. N Engl J Med 2022;386:640-654","Westin JR, et al. N Engl J Med 2023;389:148-157",2021-03-18,24.9,1:1,No,Glucocorticoids were permitted for disease control,No,Blinded central review,"Time from randomization to disease progression according to Lugano classification, commencement of new lymphoma therapy, or death from any cause",Complete response according to the Lugano classification,Modified Lee 2014,CTCAE v4.03,car_t,Axicabtagene ciloleucel (axi-cel); single infusion of 2×10^6 cells/kg after fludarabine/cyclophosphamide lymphodepletion,180,170,170,58,74,26,Second-line age-adjusted IPI of 2 or 3: 46%,77,"77 sites in 14 countries; North America 78%, Europe 19%, Israel/Australia ~3%",NA,NA,NA,NA,Locke 2022 NEJM,Second-line LBCL; bridging chemotherapy prohibited; glucocorticoids permitted
ZUMA-7,NCT03391466,Axicabtagene ciloleucel,"Locke FL, et al. N Engl J Med 2022;386:640-654","Westin JR, et al. N Engl J Med 2023;389:148-157",2021-03-18,24.9,1:1,No,Glucocorticoids were permitted for disease control,No,Blinded central review,"Time from randomization to disease progression according to Lugano classification, commencement of new lymphoma therapy, or death from any cause",Complete response according to the Lugano classification,Modified Lee 2014,CTCAE v4.03,soc,Investigator's choice of platinum-based chemoimmunotherapy followed by high-dose therapy and autologous stem-cell transplantation in eligible patients,179,168,NA,60,73,27,Second-line age-adjusted IPI of 2 or 3: 44%,82,"77 sites in 14 countries; North America 78%, Europe 19%, Israel/Australia ~3%",NA,NA,36,57,Locke 2022 NEJM; Westin 2023 NEJM,Standard-care control arm; 57% subsequently received cellular immunotherapy off protocol
TRANSFORM,NCT03575351,Lisocabtagene maraleucel,"Abramson JS, et al. Blood 2023;141:1675-1684","Kamdar M, et al. J Clin Oncol 2025;43:2671-2678",2022-05-13,17.5,1:1,Yes,1 cycle of platinum-based standard-of-care regimen permitted,Yes,IRC,"Time from randomization to death from any cause, progressive disease, failure to achieve CR or PR by 9 weeks after randomization, or start of new antineoplastic therapy because of efficacy concerns, whichever occurred first",NA,Lee 2014,CTCAE v4.03,car_t,Lisocabtagene maraleucel (liso-cel),92,92,89,60,73,27,sAAIPI 0-1: 61%; 2-3: 39%,74,"Multinational (US, Europe, Japan)",NA,NA,NA,NA,Abramson 2023 Blood,Second-line LBCL; bridging chemotherapy allowed (1 cycle); n_safety=92 and n_infused=89
TRANSFORM,NCT03575351,Lisocabtagene maraleucel,"Abramson JS, et al. Blood 2023;141:1675-1684","Kamdar M, et al. J Clin Oncol 2025;43:2671-2678",2022-05-13,17.5,1:1,Yes,1 cycle of platinum-based standard-of-care regimen permitted,Yes,IRC,"Time from randomization to death from any cause, progressive disease, failure to achieve CR or PR by 9 weeks after randomization, or start of new antineoplastic therapy because of efficacy concerns, whichever occurred first",NA,Lee 2014,CTCAE v4.03,soc,Standard of care,92,91,NA,58,76,24,sAAIPI 0-1: 60%; 2-3: 40%,68,"Multinational (US, Europe, Japan)",NA,R-DHAP / R-ICE / R-GDP,47,62,Abramson 2023 Blood; Kamdar 2025 JCO,Second-line LBCL; protocol crossover to liso-cel allowed after IRC-confirmed failure
BELINDA,NCT03570892,Tisagenlecleucel,"Bishop MR, et al. N Engl J Med 2022;386:629-639",NA,2021-05-06,10,1:1,Yes,Investigator choice of protocol-specified bridging chemotherapy; 135/162 (83.3%) received bridging therapy,Yes,IRC,"Event-free survival was defined as time from randomization to stable or progressive disease at or after the week 12 assessment by the independent review committee according to the Lugano criteria, or death at any time","Complete response according to Lugano criteria, assessed by independent review committee",Lee 2014,CTCAE v5.0,car_t,Tisagenlecleucel (tisa-cel),162,162,155,59.5,66,34,IPI >=2: 65%; <2: 35%,66,"65 centers in 18 countries; US 29.6%, non-US 70.4%",NA,NA,NA,NA,Bishop 2022 NEJM,Second-line LBCL; 25.9% had progressive disease at week 6 versus 13.8% with SOC
BELINDA,NCT03570892,Tisagenlecleucel,"Bishop MR, et al. N Engl J Med 2022;386:629-639",NA,2021-05-06,10,1:1,Yes,Investigator choice of protocol-specified salvage/bridging chemotherapy,Yes,IRC,"Event-free survival was defined as time from randomization to stable or progressive disease at or after the week 12 assessment by the independent review committee according to the Lugano criteria, or death at any time","Complete response according to Lugano criteria, assessed by independent review committee",Lee 2014,CTCAE v5.0,soc,Standard of care,160,160,NA,58,67,33,IPI >=2: 58%; <2: 42%,61,"65 centers in 18 countries; US 29.6%, non-US 70.4%",NA,R-DHAP / R-GDP / R-GemOx / R-ICE,32.5,50.6,Bishop 2022 NEJM,Second-line LBCL; 81/160 patients crossed over to receive tisa-cel
